Year;Month;TV.brand_X;TV.brand_1;TV.brand_2;TV.brand_3;TV.brand_4;TV.brand_5;TV.brand_6;TV.brand_7;TV.brand_8;TV.brand_9;TV.brand_10;Radio.brand_X;Radio.brand_4;Radio.brand_9;Press.brand_X;Press.brand_1;Press.brand_11;Press.brand_3;Press.brand_4;Press.brand_5;Press.brand_6;Press.brand_8;Press.brand_10;Reg.TV.brand_X;Reg.TV.brand_1;Reg.TV.brand_3;Reg.TV.brand_4;Reg.TV.brand_5;Reg.TV.brand_6;Reg.TV.brand_8;Reg.TV.brand_9;Reg.TV.brand_10
2013;1;324257,99;0;0;0;204447,94;0;0;0;616396,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102605,64;0;0;0
2013;2;209130,46;0;0;0;124757,12;0;3359,31;0;642578,04;337402,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;3;0;0;0;0;108244,59;0;195773,61;0;447997,94;82563,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;4;0;0;0;0;0;0;217485,54;0;167104,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;5;65922,69;0;0;0;69881,03;0;209616,5;0;318414,14;316161,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2298,22;0;0;0
2013;6;269652,82;0;0;0;109633,79;0;150216,64;0;269732,46;24589,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;7;180154,87;420827,29;0;0;181162,2;0;185293,74;0;118003,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;8;0;379859,46;2843,25;0;97491,21;0;0;0;267124,65;1895,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;9;0;40,58;0;0;0;0;0;0;260487,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;10;0;0;0;0;136984,1;0;164452,82;0;260323,36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;11;0;0;0;0;88885,53;0;0;0;593299,59;0;0;0;0;0;6754,8;0;1993,8;0;7205,525;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;12;0;0;0;0;69326,73;0;0;0;510312,63;0;0;0;0;0;0;0;1374,7;0;5642,6;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;1;243568,02;0;0;0;202383,03;0;0;0;589989,61;223928,04;0;0;0;0;0;0;996,7;0;0;0;3225,15;0;0;0;0;0;50,14;0;0;0;0;0
2014;2;211926,19;0;0;0;143393,44;0;0;0;222381,48;225453,71;0;0;0;0;3191;0;866,2;0;0;0;19457,45;0;0;0;0;0;0;0;0;0;0;0
2014;3;0;166100,78;0;0;0;0;0;0;472831,56;21899,73;0;0;0;0;3052,6;0;1442;0;3052,6;0;7155,15;0;0;0;0;0;0;0;0;34,91;0;0
2014;4;0;322862,55;0;0;0;0;0;0;379437,93;0;0;0;0;1872,59;2989,6;0;0;0;7554,9;0;0;6012,225;0;0;3,61;0;0;0;0;48,61;0;0
2014;5;64671,04;0;0;0;159871,19;0;0;0;392098,22;0;0;0;0;0;2989,6;0;0;0;0;0;0;6012,225;0;0;0;0;0;0;0;39,95;0;0
2014;6;242619,69;394430,68;0;0;171456,68;0;0;0;237682,5;313019,84;0;0;0;0;2989,6;0;0;0;0;0;0;5691,3;0;0;0;0;0;0;0;41,62;0;0
2014;7;147495,29;241730,82;0;0;120550,46;0;0;0;348217,21;0;0;0;0;0;2869,9;0;0;0;0;0;0;5330,15;0;0;0;106196,88;0;0;0;231,07;0;0
2014;8;0;380799,51;0;0;0;0;0;0;461711,56;230152,72;0;0;0;0;2726,5;0;0;0;0;0;0;7141,675;0;0;0;0;0;0;0;237,3;0;0
2014;9;0;0;0;0;112801,56;0;0;0;263776,47;152321,71;0;0;0;0;5739,8;0;0;0;0;0;0;9136,75;0;0;0;0;0;0;0;38,39;0;0
2014;10;0;188884,7;0;0;0;0;0;0;455231,52;0;0;0;0;0;2869,9;0;0;0;0;0;5242,6;1856,85;0;0;0;0;0;0;0;56,86;0;0
2014;11;0;356114,28;0;0;138569,68;0;0;0;416354,96;0;0;0;0;0;2920,9;0;0;0;4897,225;0;9625,85;5521,575;745,25;0;0;0;0;0;0;57,65;0;0
2014;12;0;0;0;0;269725,41;0;0;0;580319,58;519223,92;0;0;0;0;0;0;0;0;2770,35;0;15527,65;4228,05;5010,4;0;0;0;0;0;0;104,88;0;0
2015;1;470975,13;323570,13;0;0;0;0;0;0;387082,03;394447,25;0;0;0;0;0;0;0;0;0;0;14803,275;4932,9;4246,2;0;0;0;0;0;0;117,73;0;0
2015;2;261155,75;149417,23;0;0;177149,27;0;0;0;305779,94;0;259811,93;0;0;0;0;461,5;0;1747,8;0;0;19098,125;6302,25;2984,7;63,46;0;0;0;0;0;208,05;0;0
2015;3;0;247580,92;0;0;164456,71;0;0;0;440566,13;336632,77;247169,21;0;0;0;0;0;0;1165,2;0;0;18319,05;10026,225;0;0;0;117604,16;0;0;0;38,04;0;0
